id,amount,category,region
1,3200.74,electronics,east
2,1232.01,clothing,north
3,3386.73,sports,north
4,2956.56,electronics,north
5,477.54,clothing,central
6,3014.07,sports,south
7,3582.94,sports,west
8,1110.0,sports,east
9,4049.06,electronics,south
10,3493.72,groceries,east
11,785.84,groceries,north
12,472.8,electronics,east
13,4239.0,sports,east
14,4037.57,furniture,central
15,632.88,furniture,north
16,2764.68,sports,east
17,2890.99,electronics,north
18,3309.7,groceries,north
19,4278.04,electronics,west
20,1397.09,groceries,south
21,1857.2,clothing,east
22,3512.08,electronics,central
23,3178.54,sports,south
24,825.38,furniture,east
25,4947.72,sports,south
26,3426.23,electronics,south
27,4110.79,groceries,west
28,1346.03,clothing,central
29,4383.07,groceries,south
30,3280.64,furniture,west
31,722.93,clothing,south
32,3727.5,sports,east
33,3737.6,furniture,central
34,2003.01,clothing,south
35,2552.54,electronics,north
36,4306.9,clothing,south
37,3962.48,furniture,central
38,327.0,furniture,central
39,4980.65,sports,east
40,4855.68,electronics,north
41,3411.73,sports,east
42,3845.31,groceries,north
43,1474.57,clothing,west
44,26.19,groceries,central
45,3812.19,sports,north
46,4353.89,groceries,central
47,3048.76,clothing,east
48,3814.93,sports,central
49,4593.28,sports,east
50,2448.14,electronics,east
51,4394.82,groceries,south
52,299.05,sports,north
53,437.41,furniture,north
54,4890.14,sports,south
55,650.67,furniture,central
56,833.98,sports,central
57,2121.46,clothing,central
58,3778.77,clothing,east
59,2000.97,groceries,west
60,4499.07,furniture,north
61,1247.05,electronics,east
62,114.96,sports,south
63,2946.32,electronics,north
64,3542.13,electronics,south
65,346.33,electronics,east
66,363.58,clothing,east
67,3348.2,clothing,central
68,670.24,sports,central
69,2368.63,furniture,west
70,960.15,electronics,west
71,1777.94,furniture,west
72,4320.55,electronics,north
73,312.46,groceries,north
74,1250.8,clothing,central
75,2248.58,furniture,south
76,1399.94,clothing,north
77,2221.22,sports,north
78,262.44,sports,north
79,4845.29,clothing,south
80,2038.01,furniture,south
81,4324.61,electronics,south
82,1901.08,furniture,east
83,4633.33,furniture,east
84,2120.81,sports,west
85,782.44,groceries,south
86,4843.86,sports,central
87,314.18,groceries,north
88,260.21,furniture,central
89,4597.74,sports,south
90,293.83,sports,north
91,4258.2,electronics,central
92,349.12,clothing,west
93,608.23,sports,south
94,2898.81,electronics,central
95,419.1,sports,central
96,2618.69,groceries,south
97,3351.93,groceries,south
98,1335.42,clothing,east
99,2291.55,electronics,north
100,2296.84,sports,north
101,375.57,clothing,central
102,1333.35,groceries,north
103,4397.56,groceries,east
104,797.16,sports,east
105,3062.27,sports,north
106,3342.64,sports,east
107,4659.46,electronics,south
108,1329.68,electronics,central
109,785.69,groceries,central
110,1061.04,groceries,south
111,3440.61,groceries,central
112,2447.77,electronics,north
113,3175.08,groceries,north
114,27.69,clothing,east
115,816.29,furniture,central
116,3531.28,sports,north
117,568.25,clothing,central
118,189.78,groceries,central
119,2767.1,furniture,south
120,218.73,groceries,north
121,4495.63,clothing,south
122,3338.0,groceries,central
123,4421.83,furniture,central
124,3749.89,clothing,south
125,4881.27,clothing,west
126,133.68,groceries,west
127,4013.15,clothing,east
128,804.4,electronics,west
129,4362.11,furniture,south
130,1005.87,furniture,east
131,1532.9,clothing,south
132,128.09,clothing,west
133,1648.03,electronics,east
134,1762.22,sports,west
135,3400.8,sports,east
136,4696.79,electronics,east
137,901.05,groceries,north
138,550.93,furniture,east
139,3645.44,groceries,west
140,3034.98,sports,north
141,1932.13,sports,south
142,1281.07,furniture,north
143,2604.4,sports,south
144,1827.47,electronics,east
145,3119.55,electronics,east
146,2540.54,furniture,east
147,2017.98,groceries,central
148,645.17,furniture,west
149,3389.82,clothing,central
150,2849.84,furniture,central
151,4170.29,groceries,east
152,1058.81,sports,central
153,3276.98,furniture,west
154,2216.38,clothing,central
155,2371.2,clothing,north
156,1426.09,sports,east
157,476.0,clothing,east
158,1130.96,clothing,south
159,131.88,clothing,west
160,3060.26,electronics,west
161,2078.06,sports,south
162,3594.55,furniture,west
163,2004.27,clothing,north
164,4464.37,electronics,west
165,1102.02,sports,west
166,260.59,clothing,north
167,2287.74,furniture,central
168,4939.58,sports,east
169,4750.7,furniture,central
170,4076.88,sports,west
171,4154.54,sports,west
172,4487.07,furniture,west
173,1303.37,clothing,east
174,3831.41,sports,west
175,3137.47,groceries,west
176,396.64,groceries,south
177,1365.86,groceries,central
178,412.08,clothing,south
179,1921.35,clothing,south
180,330.5,furniture,east
181,2717.63,furniture,north
182,1042.1,furniture,west
183,4525.14,sports,north
184,4285.09,sports,west
185,2390.13,groceries,east
186,3769.84,furniture,central
187,3740.1,sports,central
188,4490.08,furniture,south
189,1371.95,furniture,north
190,1950.4,furniture,south
191,4204.12,clothing,central
192,2675.28,furniture,central
193,2826.32,electronics,north
194,3217.32,clothing,west
195,916.83,groceries,west
196,1643.49,furniture,east
197,1694.13,furniture,east
198,3762.53,furniture,east
199,4176.21,furniture,north
200,3747.63,electronics,east
201,1128.87,electronics,north
202,3773.62,clothing,south
203,4197.75,sports,south
204,1200.34,furniture,north
205,2824.21,clothing,west
206,3500.33,groceries,south
207,3033.4,electronics,south
208,4823.96,electronics,central
209,138.14,groceries,central
210,3389.96,furniture,west
211,4707.94,clothing,north
212,2964.57,clothing,north
213,3488.99,groceries,central
214,4029.58,sports,north
